Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,BB,1B,2B,3B,HR,ROE,K,HBP,FO,GO,LO,Popup#
1,1085755136,K. Higgins,Kade Higgins,Higgins,1B,UNLV,UNLV,730161664,UNLV,BBC,L,R,0,2,0,0,0,0,3,2,0,2,1,0
1,1257532160,C. Cozart,Caleb Cozart,Cozart,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,2,1,1,0,2,1,5,1,5,1,0,0
1,1184564224,J. French,Jonathan French,French,C,University of Houston,HOU,3030,Houston,BBC,R,R,3,1,1,0,1,0,3,0,1,0,0,0
1,1214274048,A. Tierney,Aiden Tierney,Tierney,RF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,0,2,1,0,0,0,3,0,2,2,0,0
1,1108468480,K. Hannahs,Kaleb Hannahs,Hannahs,3B,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,1,2,1,0,0,0,1,2,4,2,0,0
1,1179438848,B. Mcclellin,Brian Mcclellin,Mcclellin,1B,Liberty University,LIB,730156288,Liberty,BBC,R,R,2,1,3,0,1,0,4,1,0,6,0,0
1,1242088448,J. Rolling,Josh Rolling,Rolling,2B,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,7,4,2,0,0,0,4,0,2,1,1,0
1,1227407104,S. Benjamin,Samuel Benjamin,Benjamin,LF,Houston Baptist University,HBU,730157824,Houston Baptist,BBC,L,L,0,2,2,0,0,1,3,1,1,4,1,0
1,1242124544,J. English,Jake English,English,DH,University of Kansas,KU,730360064,Kansas,BBC,R,R,1,1,0,0,1,1,2,0,3,4,0,0
1,1237547008,K. Jones ii,Keith Jones ii,Jones ii,RF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,L,L,5,1,1,0,1,0,4,1,1,0,0,0
1,1083751168,J. Wagner,Jeremy Wagner,Wagner,RF,Towson University,TOWS,730318336,Towson,BBC,R,R,0,4,1,0,0,1,3,0,0,9,0,0
1,1247528960,P. Coddou,Parker Coddou,Coddou,SS,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,2,8,1,0,1,0,7,0,4,2,1,0
1,1181199360,S. Trinidad,Sebastian Trinidad,Trinidad,SS,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,0,1,2,0,0,0,3,0,3,3,1,0
1,1332251392,N. Becker,Nathan Becker,Becker,DH,Rice University,RICE,2352,Rice,BBC,L,L,5,4,2,0,0,0,4,0,3,5,1,0
1,1333127680,K. Roberts,Kai Roberts,Roberts,CF,University of Utah,UTAH,730328320,Utah,BBC,L,R,0,4,2,0,1,0,5,2,0,6,2,0
1,1286937856,A. Brown,Antonio Brown,Brown,2B,Mercer University,MER,730240512,Mercer,BBC,R,R,3,1,0,0,1,0,1,0,3,6,2,0
1,1309570304,Z. Corbin,Zac Corbin,Corbin,LF,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,S,R,0,1,0,0,0,1,7,0,2,2,2,0
1,1193007872,W. Butcher,Will Butcher,Butcher,1B,Troy University,TROY,730378496,Troy,BBC,R,R,3,3,2,0,3,0,2,0,2,4,0,0
1,1212099072,L. Mcfadden-ackman,Liam Mcfadden-ackman,Mcfadden-ackman,DH,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,1,6,3,0,2,2,5,0,2,7,1,0
1,1156590336,T. Leach,Tyler Leach,Leach,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,0,1,1,0,0,0,5,0,2,2,0,0
1,1158010112,S. Biller,Sam Biller,Biller,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,L,1,0,0,0,1,1,3,2,0,3,1,0
1,1206984960,R. Jackson,Ryan Jackson,Jackson,2B,University of Southern California,USC,5047,USC,BBC,R,R,3,1,1,0,0,0,3,0,5,2,2,0
1,1232133120,Z. Raba,Zane Raba,Raba,LF,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,1,3,0,0,0,0,5,3,1,2,0,0
1,1310700032,J. Hamberg,Jordan Hamberg,Hamberg,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,L,0,2,1,0,0,0,4,2,1,4,0,0
1,1119872000,T. Fogarty,Tyler Fogarty,Fogarty,DH,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,4,5,1,0,1,3,3,0,6,4,0,0
1,1122311168,D. Buggs,Darryl Buggs,Buggs,RF,UAB,UAB,730345984,UAB,BBC,R,R,0,3,0,0,0,0,3,0,2,3,0,0
1,1083750400,H. Brown,Harrison Brown,Brown,DH,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,L,1,2,0,0,0,0,3,1,1,1,1,0
1,1277254912,M. Blessinger,Max Blessinger,Blessinger,CF,Belmont University,BEL,730190336,Belmont,BBC,R,R,0,0,0,0,0,0,6,0,2,5,0,0
1,1123417344,T. Austin,Trevor Austin,Austin,2B,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,1,1,0,1,0,0,5,3,2,4,1,0
1,1296199936,C. Schmidt,Coleman Schmidt,Schmidt,RF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,2,0,0,1,1,0,8,0,2,2,0,0
1,1332074496,C. Bradshaw,Connor Bradshaw,Bradshaw,CF,Pepperdine University,PEPP,730338304,Pepperdine,BBC,L,R,0,3,0,0,0,0,2,0,3,2,0,0
1,1135525376,D. Brutcher,Drew Brutcher,Brutcher,RF,University of South Florida,USF,2292,South Florida,BBC,L,R,4,1,0,0,0,1,1,0,1,3,1,0
1,1142560256,I. Farrow,Ian Farrow,Farrow,RF,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,0,1,4,0,2,2,7,1,5,6,0,0
1,1142455040,C. Funk,Cj Funk,Funk,RF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,4,1,2,0,0,1,4,0,4,1,0,0
1,1215747328,T. Borom,Tiger Borom,Borom,LF,Grambling State University,GRAM,5378,Grambling State,BBC,S,R,5,0,1,0,0,2,2,0,2,4,1,0
1,1111437056,C. Kendle,Caden Kendle,Kendle,RF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,2,3,0,0,0,0,3,0,2,5,1,0
